date,winner_tie,loser_tie,attendance
1/1/1994,Florida State,Nebraska,81536
1/1/1993,Florida State,Nebraska,57324
1/1/1992,Miami,Nebraska,77747
1/1/1991,Colorado,Notre Dame,77062
1/1/1990,Notre Dame,Colorado,81190
1/2/1989,Miami,Nebraska,79480
1/1/1988,Miami,Oklahoma,74760
1/1/1987,Oklahoma,Arkansas,52717
1/1/1986,Oklahoma,Penn State,74178
1/1/1985,Washington,Oklahoma,56294
1/2/1984,Miami,Nebraska,72549
1/1/1983,Nebraska,Louisiana State,68713
1/1/1982,Clemson,Nebraska,72748
1/1/1981,Oklahoma,Florida State,71043
1/1/1980,Oklahoma,Florida State,66714
1/2/1978,Arkansas,Oklahoma,60987
1/2/1967,Florida,Georgia Tech,72426
1/2/1961,Missouri,Navy,72212
1/2/1956,Oklahoma,Maryland,76561
1/2/1950,Santa Clara,Kentucky,64816
1/2/1939,Tennessee,Oklahoma,32191
1/1/2022,Arkansas,Penn State,49577
1/2/2021,Mississippi,Indiana,11025
1/1/2020,Minnesota,Auburn,45652
1/1/2019,Iowa,Mississippi State,40518
1/1/2018,South Carolina,Michigan,45687
1/2/2017,Florida,Iowa,51119
1/1/2016,Tennessee,Northwestern,53202
1/1/2015,Wisconsin,Auburn,44023
1/1/2014,Louisiana State,Iowa,51296
1/1/2013,South Carolina,Michigan,54527
1/2/2012,Michigan State,Georgia,49429
1/1/2011,Florida,Penn State,60574
1/1/2010,Auburn,Northwestern,49383
1/1/2009,Iowa,South Carolina,55117
1/1/2008,Tennessee,Wisconsin,60121
1/1/2007,Penn State,Tennessee,65601
1/2/2006,Florida,Iowa,65881
1/1/2005,Georgia,Wisconsin,62414
1/1/2004,Iowa,Florida,65372
1/1/2003,Michigan,Florida,65101
1/1/2002,South Carolina,Ohio State,66249
1/1/2001,South Carolina,Ohio State,65229
1/1/2000,Georgia,Purdue,54059
1/1/1999,Penn State,Kentucky,66005
1/1/1998,Georgia,Wisconsin,56186
1/1/1997,Alabama,Michigan,53161
1/1/1996,Penn State,Auburn,65313
1/2/1995,Wisconsin,Duke,61384
1/1/1994,Michigan,North Carolina State,52649
1/1/1993,Tennessee,Boston College,52056
1/1/1992,Syracuse,Ohio State,57789
1/1/1991,Clemson,Illinois,63154
1/1/1990,Auburn,Ohio State,52535
1/2/1989,Syracuse,Louisiana State,51112
1/2/1988,Michigan,Alabama,60156
12/23/1986,Boston College,Georgia,25368
12/30/2021,Michigan State,Pittsburgh,41230
1/1/2021,Georgia,Cincinnati,15301
12/28/2019,Louisiana State,Oklahoma,78347
12/29/2018,Florida,Michigan,74006
1/1/2018,Central Florida,Auburn,71109
12/31/2016,Alabama,Washington,75996
12/31/2015,Houston,Florida State,71007
12/31/2014,Texas Christian,Mississippi,65706
12/31/2013,Texas A&M,Duke,67496
12/31/2012,Clemson,Louisiana State,68027
12/31/2011,Auburn,Virginia,72919
12/31/2010,Florida State,South Carolina,72217
12/31/2009,Virginia Tech,Tennessee,73777
12/31/2008,Louisiana State,Georgia Tech,71423
12/31/2007,Auburn,Clemson,74413
12/30/2006,Georgia,Virginia Tech,75406
12/30/2005,Louisiana State,Miami,65620
12/31/2004,Miami,Florida,69322
1/2/2004,Clemson,Tennessee,75125
12/31/2002,Maryland,Tennessee,68330
12/31/2001,North Carolina,Auburn,71827
12/29/2000,Louisiana State,Georgia Tech,73614
12/30/1999,Mississippi State,Clemson,73315
12/31/1998,Georgia,Virginia,72876
1/2/1998,Auburn,Clemson,71212
12/28/1996,Louisiana State,Clemson,63622
12/30/1995,Virginia,Georgia,70825
1/1/1995,North Carolina State,Mississippi State,64902
12/31/1993,Clemson,Kentucky,63416
1/2/1993,North Carolina,Mississippi State,69125
1/1/1992,East Carolina,North Carolina State,59322
12/29/1990,Auburn,Indiana,38912
12/30/1989,Syracuse,Georgia,44991
12/31/1988,North Carolina State,Iowa,44635
1/2/1988,Tennessee,Indiana,58737
12/31/1986,Virginia Tech,North Carolina State,53668
12/31/1985,Army,Illinois,29857
12/31/1984,Virginia,Purdue,41107
12/30/1983,Florida State,North Carolina,25648
12/31/1982,Iowa,Tennessee,50134
12/31/1981,West Virginia,Florida,37582
1/2/1981,Miami,Virginia Tech,45384
12/31/1979,Baylor,Clemson,57731
12/25/1978,Purdue,Georgia Tech,20277
12/31/1977,North Carolina State,Iowa State,36733
12/31/1976,Kentucky,North Carolina,54132
12/31/1975,West Virginia,North Carolina State,45134
12/28/1974,Vanderbilt,Texas Tech,31695
12/28/1973,Georgia,Maryland,38107
12/29/1972,North Carolina State,West Virginia,52671
12/30/1971,Mississippi,Georgia Tech,36711
12/30/1970,Arizona State,North Carolina,52126
12/30/1969,West Virginia,South Carolina,48452
12/30/1968,Louisiana State,Florida State,35545
12/29/2021,Maryland,Virginia Tech,29653
12/27/2019,Michigan State,Wake Forest,36895
12/27/2018,Wisconsin,Miami,37821
12/27/2017,Iowa,Boston College,37667
12/28/2016,Northwestern,Pittsburgh,37918
12/26/2015,Duke,Indiana,37218
12/27/2014,Penn State,Boston College,49012
12/28/2013,Notre Dame,Rutgers,47122
12/29/2012,Syracuse,West Virginia,39098
12/30/2011,Rutgers,Iowa State,38328
12/30/2010,Syracuse,Kansas State,38274
12/27/2021,Western Michigan,Nevada,22321
12/26/2019,Pittsburgh,Eastern Michigan,34765
12/26/2018,Minnesota,Georgia Tech,27228
12/26/2017,Duke,Northern Illinois,20211
12/26/2016,Boston College,Maryland,19117
12/28/2015,Minnesota,Central Michigan,34217
12/26/2014,Rutgers,North Carolina,23876
1/1/2022,Ohio State,Utah,87842
1/1/2021,Alabama,Notre Dame,18373
1/1/2020,Oregon,Wisconsin,90462
1/1/2019,Ohio State,Washington,91853
1/1/2018,Georgia,Oklahoma,92844
1/2/2017,Southern California,Penn State,95128
1/1/2016,Stanford,Iowa,94268
1/1/2015,Oregon,Florida State,91322
1/1/2014,Michigan State,Stanford,95173
1/1/2013,Stanford,Wisconsin,93359
1/2/2012,Oregon,Wisconsin,91245
1/1/2011,Texas Christian,Wisconsin,94118
1/1/2010,Ohio State,Oregon,93963
1/1/2009,Southern California,Penn State,93293
1/1/2008,Southern California,Illinois,93923
1/1/2007,Southern California,Michigan,93852
1/4/2006,Texas,Southern California,93986
1/1/2005,Texas,Michigan,93468
1/1/2004,Southern California,Michigan,93849
1/1/2003,Oklahoma,Washington State,86848
1/3/2002,Miami,Nebraska,93781
1/1/2001,Washington,Purdue,94392
1/1/2000,Wisconsin,Stanford,93731
1/1/1999,Wisconsin,UCLA,93872
1/1/1998,Michigan,Washington State,101219
1/1/1997,Ohio State,Arizona State,100635
1/1/1996,Southern California,Northwestern,100102
1/2/1995,Penn State,Oregon,102247
1/1/1994,Wisconsin,UCLA,101237
1/1/1993,Michigan,Washington,94236
1/1/1992,Washington,Michigan,103566
1/1/1991,Washington,Iowa,101273
1/1/1990,Southern California,Michigan,103450
1/2/1989,Michigan,Southern California,101688
1/1/1988,Michigan State,Southern California,103847
1/1/1987,Arizona State,Michigan,103168
1/1/1986,UCLA,Iowa,103292
1/1/1985,Southern California,Ohio State,102594
1/2/1984,UCLA,Illinois,103217
1/1/1983,UCLA,Michigan,104991
1/1/1982,Washington,Iowa,105611
1/1/1981,Michigan,Washington,104863
1/1/1980,Southern California,Ohio State,105526
1/2/1978,Washington,Michigan,105312
1/2/1967,Purdue,Southern California,100807
1/2/1961,Washington,Minnesota,97314
1/2/1956,Michigan State,UCLA,100809
1/2/1950,Ohio State,California,100963
1/2/1939,Southern California,Duke,89452
1/2/1933,Southern California,Pittsburgh,78874
1/2/1928,Stanford,Pittsburgh,65000
1/2/1922,Washington & Jefferson,California,50000
12/29/2021,Clemson,Iowa State,39051
12/29/2020,Oklahoma State,Miami,0
12/28/2019,Notre Dame,Iowa State,46948
12/28/2018,Syracuse,West Virginia,41125
12/28/2017,Oklahoma State,Virginia Tech,39610
12/28/2016,Miami,West Virginia,48625
12/29/2015,Baylor,North Carolina,40418
12/29/2014,Clemson,Oklahoma,40071
12/28/2013,Louisville,Miami,51100
12/28/2012,Virginia Tech,Rutgers,48127
12/29/2011,Florida State,Notre Dame,68305
12/28/2010,North Carolina State,West Virginia,48962
12/29/2009,Wisconsin,Miami,56747
12/27/2008,Florida State,Wisconsin,52692
12/28/2007,Boston College,Michigan State,46554
12/29/2006,Maryland,Purdue,40168
12/27/2005,Clemson,Colorado,31470
12/21/2004,Georgia Tech,Syracuse,28237
12/22/2003,North Carolina State,Kansas,26482
12/23/2002,Texas Tech,Clemson,21689
12/20/2001,Pittsburgh,North Carolina State,28562
12/28/2000,North Carolina State,Minnesota,28359
12/30/1999,Illinois,Virginia,31089
12/29/1998,Miami,North Carolina State,44387
12/29/1997,Georgia Tech,West Virginia,28262
12/27/1996,Miami,Virginia,46418
12/30/1995,North Carolina,Arkansas,34428
1/2/1995,South Carolina,West Virginia,50833
1/1/1994,Boston College,Virginia,38516
1/1/1993,Stanford,Penn State,45554
12/28/1991,Alabama,Colorado,52644
12/28/1990,Florida State,Penn State,74021
1/1/2022,Baylor,Mississippi,66479
1/1/2021,Ohio State,Clemson,3000
1/1/2020,Georgia,Baylor,55211
1/1/2019,Texas,Georgia,71449
1/1/2018,Alabama,Clemson,72360
1/2/2017,Oklahoma,Auburn,54077
1/1/2016,Mississippi,Oklahoma State,72117
1/1/2015,Ohio State,Alabama,74682
1/2/2014,Oklahoma,Alabama,70473
1/2/2013,Louisville,Florida,54178
1/3/2012,Michigan,Virginia Tech,64512
1/4/2011,Ohio State,Arkansas,73879
1/1/2010,Florida,Cincinnati,65207
1/2/2009,Utah,Alabama,71872
1/1/2008,Georgia,Hawaii,74383
1/3/2007,Louisiana State,Notre Dame,77781
1/2/2006,West Virginia,Georgia,74456
1/3/2005,Auburn,Virginia Tech,77349
1/4/2004,Louisiana State,Oklahoma,79342
1/1/2003,Georgia,Florida State,74269
1/1/2002,Louisiana State,Illinois,77688
1/2/2001,Miami,Florida,64407
1/4/2000,Florida State,Virginia Tech,79280
1/1/1999,Ohio State,Texas A&M,76503
1/1/1998,Florida State,Ohio State,67289
1/2/1997,Florida,Florida State,78344
12/31/1995,Virginia Tech,Texas,70283
1/2/1995,Florida State,Florida,76224
1/1/1994,Florida,West Virginia,75437
1/1/1993,Alabama,Miami,76789
1/1/1992,Notre Dame,Florida,76447
1/1/1991,Tennessee,Virginia,75132
1/1/1990,Miami,Alabama,77452
1/2/1989,Florida State,Auburn,61934
1/1/1988,Syracuse,Auburn,75495
1/1/1987,Nebraska,Louisiana State,76234
1/1/1986,Tennessee,Miami,77432
1/1/1985,Nebraska,Louisiana State,75608
1/2/1984,Auburn,Michigan,77893
1/1/1983,Penn State,Georgia,78124
1/1/1982,Pittsburgh,Georgia,77224
1/1/1981,Georgia,Notre Dame,77895
1/1/1980,Alabama,Arkansas,77486
1/2/1978,Alabama,Ohio State,76811
12/31/1975,Alabama,Penn State,75212
12/31/1974,Nebraska,Florida,67890
12/31/1973,Notre Dame,Alabama,85161
12/31/1972,Oklahoma,Penn State,80123
1/2/1967,Alabama,Nebraska,82000
1/2/1961,Mississippi,Rice,82851
1/2/1956,Georgia Tech,Pittsburgh,80175
1/2/1950,Oklahoma,Louisiana State,82470
1/2/1939,Texas Christian,Carnegie Mellon,50000
12/31/2021,Central Michigan,Washington State,34540
12/31/2019,Arizona State,Florida State,42412
12/31/2018,Stanford,Pittsburgh,40680
12/29/2017,North Carolina State,Arizona State,39897
12/30/2016,Stanford,North Carolina,42166
12/26/2015,Washington State,Miami,41180
12/27/2014,Arizona State,Duke,47809
12/31/2013,UCLA,Virginia Tech,47912
12/31/2012,Georgia Tech,Southern California,47922
12/31/2011,Utah,Georgia Tech,48123
12/31/2010,Notre Dame,Miami,54021
12/31/2009,Oklahoma,Stanford,53713
12/31/2008,Oregon State,Pittsburgh,49037
12/31/2007,Oregon,South Florida,49867
12/29/2006,Oregon State,Missouri,48732
12/30/2005,UCLA,Northwestern,50426
12/31/2004,Arizona State,Purdue,51288
12/31/2003,Minnesota,Oregon,49894
12/31/2002,Purdue,Washington,48917
12/31/2001,Washington State,Purdue,47812
12/29/2000,Wisconsin,UCLA,49093
12/31/1999,Oregon,Minnesota,48757
12/31/1998,Texas Christian,Southern California,46612
12/31/1997,Arizona State,Iowa,49104
12/31/1996,Stanford,Michigan State,42721
12/29/1995,Iowa,Washington,49116
12/30/1994,Texas,North Carolina,50612
12/24/1993,Oklahoma,Texas Tech,43848
12/31/1992,Baylor,Arizona,41622
12/31/1991,UCLA,Illinois,42281
12/31/1990,Michigan State,Southern California,50562
12/30/1989,Pittsburgh,Texas A&M,44887
12/24/1988,Alabama,Army,48719
12/25/1987,Oklahoma State,West Virginia,43240
12/25/1986,Alabama,Washington,48722
12/28/1985,Georgia,Arizona,52203
12/22/1984,Maryland,Tennessee,50126
12/24/1983,Alabama,Southern Methodist,41412
12/25/1982,North Carolina,Texas,31359
12/26/1981,Oklahoma,Houston,33816
12/27/1980,Nebraska,Mississippi State,34273
12/22/1979,Washington,Texas,33412
12/23/1978,Texas,Maryland,33122
12/31/1977,Stanford,Louisiana State,31318
1/2/1977,Texas A&M,Florida,33122
12/26/1975,Pittsburgh,Kansas,33240
12/28/1974,Mississippi State,North Carolina,30131
12/29/1973,Missouri,Auburn,30127
12/30/1972,North Carolina,Texas Tech,31312
12/18/1971,Louisiana State,Iowa State,33503
12/19/1970,Georgia Tech,Texas Tech,30512
12/20/1969,Nebraska,Georgia,29723
12/28/1968,Auburn,Arizona,32307
12/30/1967,Texas-El Paso,Mississippi,34685
12/24/1966,Wyoming,Florida State,24381
12/31/1965,Texas-El Paso,Texas Christian,27450
12/26/1964,Georgia,Texas Tech,28500
12/31/1963,Oregon,Southern Methodist,26500
12/31/1962,West Texas A&M,Ohio,16000
12/30/1961,Villanova,Wichita State,15000
12/31/1960,New Mexico State,Utah State,16000
12/31/1959,New Mexico State,North Texas,14000
12/31/1958,Wyoming,Hardin-Simmons,13000
1/2/1956,Wyoming,Texas Tech,14500
1/2/1950,Texas-El Paso,Georgetown,15000
1/2/1939,Utah,New Mexico,13000
1/4/1947,Hardin-Simmons,Denver,3730
12/28/1990,North Carolina State,Southern Mississippi,44000
12/28/1989,Texas Tech,Duke,47750
12/29/1988,Florida,Illinois,48218
12/22/1987,Virginia,Brigham Young,37000
12/31/1986,Florida State,Indiana,30000
12/31/1985,Georgia Tech,Michigan State,45000
12/29/1984,Kentucky,Wisconsin,47300
12/22/1983,West Virginia,Kentucky,42000
12/31/1982,Air Force,Vanderbilt,75000
12/31/1981,Mississippi State,Kansas,41672
12/27/1980,Arkansas,Tulane,30000
12/29/1979,Missouri,South Carolina,62785
12/20/1978,Texas A&M,Iowa State,41500
12/22/1977,Maryland,Minnesota,47000
12/25/2000,Boston College,Arizona State,24397
12/25/1999,Wake Forest,Arizona State,40974
12/25/1998,Colorado,Oregon,46451
12/25/1997,Washington,Michigan State,44598
12/25/1996,Navy,California,43380
12/25/1995,Kansas,UCLA,41111
12/25/1994,Boston College,Kansas State,44862
12/25/1993,Colorado,Fresno State,44009
12/25/1992,Kansas,Brigham Young,42933
12/25/1991,Georgia Tech,Stanford,34433
12/25/1990,Syracuse,Arizona,14185
12/25/1989,Michigan State,Hawaii,50000
12/25/1988,Washington State,Houston,35132
12/25/1987,UCLA,Florida,24839
12/27/1986,Arizona,North Carolina,26743
12/28/1985,Alabama,Southern California,35183
12/29/1984,Southern Methodist,Notre Dame,41777
12/26/1983,Penn State,Washington,37212
12/25/1982,Washington,Maryland,30055
12/31/2020,Ball State,San Jose State,0
12/31/2019,Wyoming,Georgia State,36892
12/29/2018,Nevada,Arkansas State,32368
12/29/2017,New Mexico State,Utah State,39132
12/30/2016,Air Force,South Alabama,33868
12/29/2015,Nevada,Colorado State,20425
12/9/1961,New Mexico,Western Michigan,3694
1/6/2014,Florida State,Auburn,94208
1/7/2013,Alabama,Notre Dame,80120
1/9/2012,Alabama,Louisiana State,78237
1/10/2011,Auburn,Oregon,78603
1/7/2010,Alabama,Texas,94906
1/8/2009,Florida,Oklahoma,78468
1/7/2008,Louisiana State,Ohio State,79651
1/8/2007,Florida,Ohio State,74628
12/31/2019,Kentucky,Virginia Tech,44138
12/29/2018,Virginia,South Carolina,48263
12/29/2017,Wake Forest,Texas A&M,32784
12/29/2016,Virginia Tech,Arkansas,73778
12/30/2015,Mississippi State,North Carolina State,46423
12/30/2014,Georgia,Louisville,45671
12/28/2013,North Carolina,Cincinnati,45211
12/27/2012,Cincinnati,Duke,48128
12/27/2011,North Carolina State,Louisville,58427
12/31/2010,South Florida,Clemson,41122
12/26/2009,Pittsburgh,North Carolina,50389
12/27/2008,West Virginia,North Carolina,73712
12/29/2007,Wake Forest,Connecticut,53126
12/30/2006,Boston College,Navy,52303
12/31/2005,North Carolina State,South Florida,57937
12/30/2004,Boston College,North Carolina,73238
12/27/2003,Virginia,Pittsburgh,51236
12/28/2002,Virginia,West Virginia,73535
12/31/1987,Texas,Pittsburgh,23282
12/31/1986,Baylor,Colorado,40476
12/31/1985,Air Force,Texas,42000
12/31/1984,West Virginia,Texas Christian,43260
12/31/1983,Oklahoma State,Baylor,50090
12/31/1982,Arkansas,Florida,31557
12/31/1981,Michigan,UCLA,40309
12/31/1980,North Carolina,Texas,30667
12/31/1979,Purdue,Tennessee,40542
12/31/1978,Stanford,Georgia,34084
12/31/1977,Southern California,Texas A&M,52842
12/31/1976,Nebraska,Texas Tech,48618
12/27/1975,Texas,Colorado,52748
12/23/1974,North Carolina State,Houston,35122
12/29/1973,Houston,Tulane,44358
12/30/1972,Tennessee,Louisiana State,52961
12/31/1971,Colorado,Houston,54720
12/31/1970,Oklahoma,Alabama,53289
12/31/1969,Houston,Auburn,55203
12/31/1968,Southern Methodist,Oklahoma,53543
12/23/1967,Colorado,Miami,30156
12/17/1966,Texas,Mississippi,67000
12/18/1965,Tennessee,Tulsa,40000
12/19/1964,Tulsa,Mississippi,50000
12/21/1963,Baylor,Louisiana State,50000
12/22/1962,Missouri,Georgia Tech,55000
12/16/1961,Kansas,Rice,52000
12/17/1960,Texas,Alabama,68000
12/19/1959,Clemson,Texas Christian,55000
12/13/1958,Oklahoma State,Florida State,7000
12/14/1991,Bowling Green,Fresno State,34825
12/8/1990,San Jose State,Central Michigan,25431
12/9/1989,Fresno State,Ball State,31610
12/10/1988,Fresno State,Western Michigan,31272
12/12/1987,Eastern Michigan,San Jose State,24000
12/13/1986,San Jose State,Miami,10743
12/14/1985,Fresno State,Bowling Green,32554
12/15/1984,Nevada-Las Vegas,Toledo,21741
12/17/1983,Northern Illinois,Cal State Fullerton,20464
12/18/1982,Fresno State,Bowling Green,30000
12/19/1981,Toledo,San Jose State,15565
12/21/1985,Maryland,Syracuse,51858
12/22/1984,Army,Michigan State,70332
1/2/1922,Texas A&M,Centre,12000
12/23/2020,Memphis,Florida Atlantic,2979
12/30/2019,California,Illinois,34177
12/31/2018,Oregon,Michigan State,30212
12/27/2017,Purdue,Arizona,28436
12/28/2016,Utah,Indiana,27608
12/26/2015,Nebraska,UCLA,33527
12/30/2014,Stanford,Maryland,34780
12/27/2013,Washington,Brigham Young,34136
12/29/2012,Arizona State,Navy,34172
12/31/2011,Illinois,UCLA,29878
1/9/2011,Nevada,Boston College,41063
12/26/2009,Southern California,Boston College,40121
12/27/2008,California,Miami,42268
12/28/2007,Oregon State,Maryland,32517
12/27/2006,Florida State,UCLA,40331
12/29/2005,Utah,Georgia Tech,25742
12/30/2004,Navy,New Mexico,30563
12/31/2003,Boston College,Colorado State,25621
12/31/2002,Virginia Tech,Air Force,25966
12/27/1994,Utah,Arizona,27477
12/30/1993,Southern California,Utah,37203
12/29/1992,Fresno State,Southern California,50745
12/30/1991,Tulsa,San Diego State,34217
12/29/1990,Colorado State,Oregon,41450
12/30/1989,Washington,Florida,33858
12/29/1988,Brigham Young,Colorado,35941
12/30/1987,Arizona State,Air Force,33261
12/30/1986,UCLA,Brigham Young,55422
12/30/1985,Washington,Colorado,30961
12/26/1984,Iowa,Texas,24093
12/13/1981,Tennessee,Wisconsin,38782
12/14/1980,Houston,Navy,41417
12/15/1979,Temple,California,55493
12/16/1978,Arizona State,Rutgers,33402
12/15/1962,Nebraska,Miami,6166
12/9/1961,Baylor,Utah State,15123
12/6/1947,Kentucky,Villanova,14908
12/24/2019,Hawaii,Brigham Young,21582
12/22/2018,Louisiana Tech,Hawaii,30911
12/24/2017,Fresno State,Houston,20546
12/24/2016,Hawaii,Middle Tennessee State,23175
12/24/2015,San Diego State,Cincinnati,22793
12/24/2014,Rice,Fresno State,25365
12/24/2013,Oregon State,Boise State,29106
12/24/2012,Southern Methodist,Fresno State,30024
12/24/2011,Southern Mississippi,Nevada,32630
12/24/2010,Tulsa,Hawaii,43673
12/24/2009,Southern Methodist,Nevada,32650
12/24/2008,Notre Dame,Hawaii,45718
12/23/2007,East Carolina,Boise State,30467
12/24/2006,Hawaii,Arizona State,43435
12/24/2005,Nevada,Central Florida,26254
12/24/2004,Hawaii,Alabama-Birmingham,39662
12/25/2003,Hawaii,Houston,29005
12/25/2002,Tulane,Hawaii,31535
12/27/2019,Iowa,Southern California,50123
12/31/2018,Northwestern,Utah,47007
12/28/2017,Michigan State,Washington State,47092
12/27/2016,Minnesota,Washington State,48704
12/30/2015,Wisconsin,Southern California,48329
12/27/2014,Southern California,Nebraska,55789
12/30/2013,Texas Tech,Arizona State,52930
12/27/2012,Baylor,UCLA,55507
12/28/2011,Texas,California,56313
12/30/2010,Washington,Nebraska,57291
12/30/2009,Nebraska,Arizona,64607
12/30/2008,Oregon,Oklahoma State,59106
12/27/2007,Texas,Arizona State,64020
12/28/2006,California,Texas A&M,62395
12/29/2005,Oklahoma,Oregon,65416
12/30/2004,Texas Tech,California,66222
12/30/2003,Washington State,Texas,61102
12/27/2002,Kansas State,Arizona State,58717
12/28/2001,Texas,Washington,60548
12/29/2000,Oregon,Texas,63278
12/29/1999,Kansas State,Washington,57118
12/30/1998,Arizona,Nebraska,65354
12/29/1997,Colorado State,Missouri,50761
12/30/1996,Colorado,Washington,54749
12/29/1995,Kansas State,Colorado State,51051
12/30/1994,Michigan,Colorado State,59453
12/30/1993,Ohio State,Brigham Young,52108
12/30/1992,Hawaii,Illinois,44457
12/30/1991,Iowa,Brigham Young,60646
12/29/1990,Texas A&M,Brigham Young,61441
12/29/1989,Penn State,Brigham Young,61113
12/30/1988,Oklahoma State,Wyoming,60718
12/30/1987,Iowa,Wyoming,61892
12/30/1986,Iowa,San Diego State,59473
12/22/1985,Arkansas,Arizona State,42324
12/21/1984,Brigham Young,Michigan,61243
12/23/1983,Brigham Young,Missouri,51480
12/17/1982,Ohio State,Brigham Young,52533
12/18/1981,Brigham Young,Washington State,52419
12/19/1980,Brigham Young,Southern Methodist,50214
12/21/1979,Indiana,Brigham Young,52200
12/22/1978,Navy,Brigham Young,52500
12/31/2005,Texas Christian,Iowa State,37280
12/29/2004,Colorado,Texas-El Paso,27235
12/30/2003,Texas Tech,Navy,51068
12/27/2002,Oklahoma State,Southern Mississippi,44687
12/28/2001,Texas A&M,Texas Christian,53480
12/27/2000,East Carolina,Texas Tech,33899
1/2/2010,South Florida,Northern Illinois,22185
1/3/2009,Connecticut,Buffalo,40184
1/5/2008,Rutgers,Ball State,31455
1/6/2007,Cincinnati,Western Michigan,26717
12/26/2013,Pittsburgh,Bowling Green,26259
12/26/2012,Central Michigan,Western Kentucky,23310
12/27/2011,Purdue,Western Michigan,46177
12/26/2010,Florida International,Toledo,32431
12/26/2009,Marshall,Ohio,30331
12/26/2008,Florida Atlantic,Central Michigan,41399
12/26/2007,Purdue,Central Michigan,60624
12/26/2006,Central Michigan,Middle Tennessee State,54113
12/26/2005,Memphis,Akron,50616
12/27/2004,Connecticut,Toledo,52552
12/26/2003,Bowling Green,Northwestern,51286
12/26/2002,Boston College,Toledo,51872
12/29/2001,Toledo,Cincinnati,44164
12/27/2000,Marshall,Cincinnati,52911
12/27/1999,Marshall,Brigham Young,44863
12/23/1998,Marshall,Louisville,32206
12/26/1997,Mississippi,Marshall,43340
12/25/1924,Southern California,Missouri,47000
12/19/2016,Tulsa,Central Michigan,15262
12/21/2015,Western Kentucky,South Florida,21712
12/22/2014,Memphis,Brigham Young,36742
12/27/2019,North Carolina,Temple,24242
12/31/2018,Cincinnati,Virginia Tech,32832
12/28/2017,Navy,Virginia,35921
12/27/2016,Wake Forest,Temple,26656
12/28/2015,Navy,Pittsburgh,36352
12/27/2014,Virginia Tech,Cincinnati,34277
12/27/2013,Marshall,Maryland,30163
12/27/2012,San Jose State,Bowling Green,17835
12/28/2011,Toledo,Air Force,25042
12/29/2010,Maryland,East Carolina,38062
12/29/2009,UCLA,Temple,23072
12/20/2008,Wake Forest,Navy,28777
12/18/1971,Memphis,San Jose State,
12/19/1970,Louisville,Long Beach State,
12/6/1969,San Diego State,Boston University,
12/7/1968,Grambling State,Sacramento State,
12/2/1967,West Texas A&M,Cal State Northridge,
12/21/2016,Brigham Young,Wyoming,28114
12/23/2015,Boise State,Northern Illinois,21501
12/23/2014,Navy,San Diego State,33077
12/26/2013,Utah State,Northern Illinois,23408
12/20/2012,Brigham Young,San Diego State,35442
12/21/2011,Texas Christian,Louisiana Tech,24607
12/23/2010,San Diego State,Navy,48049
12/23/2009,Utah,California,32665
12/23/2008,Texas Christian,Boise State,34628
12/20/2007,Utah,Navy,39129
12/19/2006,Texas Christian,Northern Illinois,29709
12/22/2005,Navy,Colorado State,36842
12/9/1950,Texas A&M,Georgia,12245
12/25/1922,West Virginia,Gonzaga,5000
12/26/1921,Centre,Arizona,5000
12/30/2002,Wake Forest,Oregon,38241
12/27/2001,Georgia Tech,Stanford,30144
12/24/2000,Georgia,Virginia,24187
12/25/1999,Hawaii,Oregon State,40974
12/25/1998,Air Force,Washington,46451
12/18/1948,Hardin-Simmons,Ouachita,
12/30/2004,Northern Illinois,Troy,21456
12/30/2003,Fresno State,UCLA,20126
12/31/2002,Fresno State,Georgia Tech,10132
12/31/2001,Michigan State,Fresno State,30456
12/31/2000,Air Force,Fresno State,26542
